"PRODUCTO","TIENDA","DIA","UNIDADES","PRECIO"
"Manzana a granel",14526,"2018-04-28",693,2.99
"Manzana a granel",14526,"2019-04-04",867.912,2.99
"Manzana a granel",14526,"2018-09-12",751.18,2.99
"Manzana a granel",14526,"2018-03-27",742,2.99
"Manzana a granel",14526,"2020-01-27",779,2.99
"Manzana a granel",14526,"2018-04-05",619.336,2.99
"Manzana a granel",14526,"2020-03-27",685,2.99
"Manzana a granel",14526,"2018-08-31",724.49,2.99
"Manzana a granel",14526,"2017-12-11",822.065,2.99
"Manzana a granel",14526,"2018-06-09",663,2.99
"Manzana a granel",14526,"2018-12-19",706,2.99
"Manzana a granel",14526,"2018-02-09",751,2.99
"Manzana a granel",14526,"2018-07-02",NA,2.99
"Manzana a granel",14526,"2018-10-11",755.998,2.99
"Manzana a granel",14526,"2020-07-25",551,2.99
"Manzana a granel",14526,"2020-03-02",761,2.99
"Manzana a granel",14526,"2019-01-17",741,2.99
"Manzana a granel",14526,"2020-08-08",514,2.99
"Manzana a granel",14526,"2018-09-04",681.388,2.99
"Manzana a granel",14526,"2018-05-18",717,2.99
"Manzana a granel",14526,"2017-09-14",776.944,2.99
"Manzana a granel",14526,"2018-03-22",740,2.99
"Manzana a granel",14526,"2019-08-19",700,2.99
"Manzana a granel",14526,"2019-02-06",747,2.99
"Manzana a granel",14526,"2019-07-31",638,2.99
"Manzana a granel",14526,"2018-01-11",697,2.99
"Manzana a granel",14526,"2018-01-16",749,2.99
"Manzana a granel",14526,"2017-08-28",792.786,2.99
"Manzana a granel",14526,"2020-05-30",613,2.99
"Manzana a granel",14526,"2019-07-13",676,2.99
"Manzana a granel",14526,"2019-05-22",724,2.99
"Manzana a granel",14526,"2018-02-17",744,2.99
"Manzana a granel",14526,"2019-06-05",720,2.99
"Manzana a granel",14526,"2019-04-16",708,2.99
"Manzana a granel",14526,"2019-01-25",782,2.99
"Manzana a granel",14526,"2020-04-20",536,2.99
"Manzana a granel",14526,"2019-02-11",831,2.99
"Manzana a granel",14526,"2018-09-29",686,2.99
"Manzana a granel",14526,"2020-01-30",653,2.99
"Manzana a granel",14526,"2018-07-19",633.31,2.99
"Manzana a granel",14526,"2019-08-01",650.62,2.99
"Manzana a granel",14526,"2018-04-03",860,2.99
"Manzana a granel",14526,"2019-06-01",680,NA
"Manzana a granel",14526,"2020-02-20",649.229,2.99
"Manzana a granel",14526,"2018-09-17",787.148,2.99
"Manzana a granel",14526,"2018-12-18",580,2.99
"Manzana a granel",14526,"2020-01-13",802,2.99
